Time,True_X,True_Y,True_Z,Est_X,Est_Y,Est_Z
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-5.5109105961630896e-18,-0.03,-0.008430818085443104,0.004896955150014165,-0.016752442566316285,0.055378961641735766
0.2,-1.1021821192326179e-17,-0.06,-0.016871310699195386,0.011549873664059108,-0.0321485437216413,0.0047469239218396915
0.30000000000000004,-1.653273178848927e-17,-0.09,-0.025331092722881896,0.018009538807107834,-0.04833600290162321,-0.02666156183767402
0.4,-2.2043642384652358e-17,-0.12,-0.03381966011250106,0.02166690688796565,-0.06800525417366694,-0.05454655080737783
0.5,-2.7554552980815448e-17,-0.15,-0.04234633135269821,0.028284227433266335,-0.08380097784888815,-0.061019210008010166
0.6000000000000001,-3.306546357697854e-17,-0.18,-0.05092019000520907,0.033299845415552795,-0.10294330038491249,-0.06209992666192721
0.7000000000000001,-3.8576374173141627e-17,-0.21,-0.05955002870568103,0.03838384141255868,-0.12378688729131121,-0.06341424089283858
0.8,-4.4087284769304716e-17,-0.24,-0.06824429495415055,0.0426914957886587,-0.14598527544897538,-0.07452416122095748
0.9,-4.9598195365467806e-17,-0.27,-0.07701103903339634,0.04659357847290269,-0.1712987404225457,-0.06901970695713219
1.0,-5.5109105961630896e-17,-0.30000000000000004,-0.08585786437626908,0.4430775747712638,-0.2846959471075353,-0.0803579807171799
1.1,-6.062001655779399e-17,-0.33000000000000007,-0.09479188068799942,0.44520367060199434,-0.32573317258906015,-0.08755285885562619
1.2000000000000002,-6.613092715395707e-17,-0.3600000000000001,-0.1038196601125011,0.44614798482312235,-0.36669387708837664,-0.091984064973549
1.3,-7.164183775012016e-17,-0.3900000000000001,-0.11294719671291822,0.44649129447420494,-0.41048201247206567,-0.09310254272273888
1.4000000000000001,-7.715274834628325e-17,-0.42000000000000015,-0.12217986951623272,0.4459715732428817,-0.4604431938026614,-0.09882125651508805
1.5,-8.266365894244634e-17,-0.4500000000000002,-0.13152240934977433,0.4373313036833182,-0.5173419699532212,-0.11848067463704533
1.6,-8.817456953860943e-17,-0.4800000000000002,-0.140978869674097,0.4350657524032542,-0.586321211509209,-0.14114709028669717
1.7000000000000002,-9.368548013477252e-17,-0.5100000000000002,-0.15055260159204656,0.41894005521407257,-0.6610987724347406,-0.16632316693860869
1.8,-9.919639073093561e-17,-0.5400000000000003,-0.16024623318809736,0.4072227215977956,-0.7473267862378737,-0.19126099989853435
1.9000000000000001,-1.047073013270987e-16,-0.5700000000000003,-0.17006165332533754,0.3941958282341017,-0.8450238460516332,-0.22406279863998285
2.0,-1.1021821192326179e-16,-0.6000000000000003,-0.18000000000000013,0.06615322348156541,-0.7668272179525718,-0.25591051420381117
2.1,-1.1572912251942488e-16,-0.6300000000000003,-0.19006165332533756,0.035021344228979935,-0.9690510432930644,-0.2729489810144141
2.2,-1.2124003311558797e-16,-0.6600000000000004,-0.2002462331880974,0.015136821047046322,-1.2164685111803633,-0.2833266786788977
2.3000000000000003,-1.2675094371175106e-16,-0.6900000000000004,-0.2105526015920466,-0.0468618425349148,-1.4026416922683245,-0.2956243238446463
2.4000000000000004,-1.3226185430791415e-16,-0.7200000000000004,-0.22097886967409708,-0.22104954538691937,-1.5714511099281134,-0.29241560392564575
2.5,-1.3777276490407724e-16,-0.7500000000000004,-0.23152240934977442,-0.256987668761325,-1.6870118517961632,-0.3330585683288822
2.6,-1.4328367550024033e-16,-0.7800000000000005,-0.24217986951623283,-0.33179962454842155,-1.7888698717871425,-0.3709449049347275
2.7,-1.4879458609640342e-16,-0.8100000000000005,-0.2529471967129183,-0.45472248312472674,-1.87992022054105,-0.42611395992731005
2.8000000000000003,-1.543054966925665e-16,-0.8400000000000005,-0.26381966011250124,-0.599004743026062,-1.9612599500077665,-0.47596354377995015
2.9000000000000004,-1.598164072887296e-16,-0.8700000000000006,-0.2747918806879996,-0.7468802910674838,-2.0315176587095944,-0.4988225668649755
3.0,-1.6532731788489269e-16,-0.9000000000000006,-0.28585786437626926,-0.5992908278827341,-1.672136996258695,-0.503123535554592
3.1,-1.7083822848105578e-16,-0.9300000000000006,-0.29701103903339654,-0.7523984413053793,-1.7352939066090687,-0.4840037613735409
3.2,-1.7634913907721887e-16,-0.9600000000000006,-0.3082442949541508,-0.8836334879914313,-1.767332215794793,-0.44413044109852406
3.3000000000000003,-1.8186004967338196e-16,-0.9900000000000007,-0.3195500287056813,-1.0271786577670468,-1.7631350243781367,-0.4045634817896898
3.4000000000000004,-1.8737096026954504e-16,-1.0200000000000007,-0.33092019000520934,-1.1558774749551188,-1.7544598706219265,-0.37722233865540855
3.5,-1.9288187086570813e-16,-1.0500000000000007,-0.34234633135269843,-1.2411295698593137,-1.793509744094906,-0.36516416972260984
3.6,-1.9839278146187122e-16,-1.0800000000000007,-0.3538196601125013,-1.299986615391958,-1.876236949728785,-0.3371897905639788
3.7,-2.0390369205803431e-16,-1.1100000000000008,-0.36533109272288217,-1.3339539842163857,-1.9789923347695457,-0.3249743522326898
3.8000000000000003,-2.094146026541974e-16,-1.1400000000000008,-0.37687131069919566,-1.3360829638320608,-2.0908055936843915,-0.3164745651924538
3.9000000000000004,-2.149255132503605e-16,-1.1700000000000008,-0.3884308180854434,-1.302300443616135,-2.206674793120795,-0.32568272589500036
4.0,-2.2043642384652358e-16,-1.2000000000000008,-0.4000000000000003,-1.2594233189564557,-2.0147638021458127,-0.36070017972978186
4.1000000000000005,-2.2594733444268667e-16,-1.2300000000000009,-0.4115691819145572,-1.186242695995264,-2.2059989049842508,-0.3942749711668363
