Time(s),True Position X(m),True Position Y(m),True Position Z(m),TRUKF Estimated Position X(m),TRUKF Estimated Position Y(m),TRUKF Estimated Position Z(m)
1.800000000000000044e+00,-1.157291225194249053e-16,-6.299999999999998934e-01,-1.602462331880973589e-01,8.997480956589404277e-02,4.153306245617288672e-02,-2.204913753554247902e-01
1.900000000000000133e+00,-1.221585182149485016e-16,-6.649999999999999245e-01,-1.700616533253375418e-01,9.005849878387546525e-02,4.140808367374623072e-02,-2.404913696995286676e-01
2.000000000000000000e+00,-1.285879139104720978e-16,-6.999999999999999556e-01,-1.800000000000001321e-01,4.341586217442834350e-01,3.239482873052735856e-01,-1.401618944583339910e-01
2.100000000000000089e+00,-1.350173096059956941e-16,-7.349999999999999867e-01,-1.900616533253375595e-01,4.337659339558669336e-01,3.203019119657645186e-01,-1.740153076772596730e-01
2.200000000000000178e+00,-1.414467053015192904e-16,-7.700000000000000178e-01,-2.002462331880973945e-01,4.335080997906512468e-01,3.178656248095136361e-01,-1.940138071275773202e-01
2.300000000000000266e+00,-1.478761009970428866e-16,-8.050000000000000488e-01,-2.105526015920466121e-01,4.333412962323304751e-01,3.162407504506222766e-01,-2.140131401064270800e-01
2.400000000000000355e+00,-1.543054966925664829e-16,-8.400000000000000799e-01,-2.209788696740970781e-01,4.332343002717402580e-01,3.151585315189820435e-01,-2.340128444427537757e-01
2.500000000000000000e+00,-1.607348923880900792e-16,-8.750000000000001110e-01,-2.315224093497744162e-01,4.331684846707397618e-01,3.144417848126490611e-01,-2.540127149279508556e-01
2.600000000000000089e+00,-1.671642880836136754e-16,-9.100000000000001421e-01,-2.421798695162328263e-01,4.331303468452108452e-01,3.139716692253147201e-01,-2.740126593120837395e-01
2.700000000000000178e+00,-1.735936837791372717e-16,-9.450000000000001732e-01,-2.529471967129183207e-01,4.331071918306141910e-01,3.136674022493411429e-01,-2.940126360334333055e-01
2.800000000000000266e+00,-1.800230794746608680e-16,-9.800000000000002043e-01,-2.638196601125012419e-01,4.330933516138326111e-01,3.134744328009925751e-01,-3.140126266762411911e-01
2.900000000000000355e+00,-1.864524751701844642e-16,-1.015000000000000124e+00,-2.747918806879995901e-01,4.330858241812773346e-01,3.133549983704017605e-01,-3.340126230959295506e-01
3.000000000000000000e+00,-1.928818708657080605e-16,-1.050000000000000044e+00,-2.858578643762692550e-01,3.922546437288017551e-01,1.810359597032145107e-01,-2.586306756797761008e-01
3.100000000000000089e+00,-1.993112665612316568e-16,-1.084999999999999964e+00,-2.970110390333965400e-01,3.930854484934965809e-01,1.765219989065337225e-01,-2.810188957841183721e-01
3.200000000000000178e+00,-2.057406622567552530e-16,-1.119999999999999885e+00,-3.082442949541507882e-01,3.936483396396172063e-01,1.735006209171793268e-01,-3.010165342518482667e-01
3.300000000000000266e+00,-2.121700579522788493e-16,-1.154999999999999805e+00,-3.195500287056812772e-01,3.940301248820550217e-01,1.714803750798285231e-01,-3.210154774356230867e-01
3.400000000000000355e+00,-2.185994536478024455e-16,-1.189999999999999725e+00,-3.309201900052093359e-01,3.942888756120787597e-01,1.701344862396216573e-01,-3.410150078379324268e-01
3.500000000000000000e+00,-2.250288493433260418e-16,-1.224999999999999645e+00,-3.423463313526984297e-01,3.944656921830635432e-01,1.692389652771708608e-01,-3.610147995313741642e-01
3.600000000000000089e+00,-2.314582450388496627e-16,-1.259999999999999565e+00,-3.538196601125013219e-01,3.945897158172913533e-01,1.686438740315616969e-01,-3.810147071522976825e-01
3.700000000000000178e+00,-2.378876407343732836e-16,-1.294999999999999485e+00,-3.653310927228821670e-01,3.946771199665130014e-01,1.682485333235275160e-01,-4.010146661688155367e-01
3.800000000000000266e+00,-2.443170364298969046e-16,-1.329999999999999405e+00,-3.768713106991956607e-01,3.947404434981974797e-01,1.679859360008939817e-01,-4.210146479270013287e-01
3.900000000000000355e+00,-2.507464321254205255e-16,-1.364999999999999325e+00,-3.884308180854433856e-01,3.947881350498719244e-01,1.678113984140901238e-01,-4.410146397425362963e-01
4.000000000000000000e+00,-2.571758278209441464e-16,-1.399999999999999245e+00,-4.000000000000002998e-01,4.393837811135222204e-01,9.690840600212227707e-02,-3.693959367680296202e-01
4.100000000000000533e+00,-2.636052235164677673e-16,-1.434999999999999165e+00,-4.115691819145572139e-01,4.403954583587877392e-01,9.369708417765741648e-02,-3.947626291963678424e-01
4.200000000000000178e+00,-2.700346192119913882e-16,-1.469999999999999085e+00,-4.231286893008049388e-01,4.410793731730878187e-01,9.154740873140908286e-02,-4.147613569449029036e-01
4.299999999999999822e+00,-2.764640149075150091e-16,-1.504999999999999005e+00,-4.346689072771184326e-01,4.415415425286531859e-01,9.011204541927808620e-02,-4.347607884697360370e-01
4.400000000000000355e+00,-2.828934106030386301e-16,-1.539999999999998925e+00,-4.461803398874992777e-01,4.418563055509354687e-01,8.915565409327573521e-02,-4.547605350280981007e-01
4.500000000000000000e+00,-2.893228062985622510e-16,-1.574999999999998845e+00,-4.576536686473021143e-01,4.420687560453445686e-01,8.851661722763344564e-02,-4.747604216519446529e-01
4.600000000000000533e+00,-2.957522019940858719e-16,-1.609999999999998765e+00,-4.690798099947913191e-01,4.422136949516264348e-01,8.809332214698493979e-02,-4.947603716053791123e-01
4.700000000000000178e+00,-3.021815976896094928e-16,-1.644999999999998685e+00,-4.804499712943193224e-01,4.423122421055025733e-01,8.780950187953021069e-02,-5.147603490389949243e-01
4.800000000000000711e+00,-3.086109933851331137e-16,-1.679999999999998606e+00,-4.917557050458498669e-01,4.423789474041529557e-01,8.761899433858900965e-02,-5.347603388533123114e-01
4.900000000000000355e+00,-3.150403890806567346e-16,-1.714999999999998526e+00,-5.029889609666040595e-01,4.424233783777993256e-01,8.749052452081572395e-02,-5.547603342336604459e-01
5.000000000000000000e+00,-3.214697847761803556e-16,-1.749999999999998446e+00,-5.141421356237312335e-01,2.884375932838776357e-01,-6.598230087647573294e-02,-4.897819198588281853e-01
5.100000000000000533e+00,-3.278991804717039765e-16,-1.784999999999998366e+00,-5.252081193120009539e-01,2.880899870554280984e-01,-7.033195060004455990e-02,-5.096545736566224782e-01
5.200000000000000178e+00,-3.343285761672275974e-16,-1.819999999999998286e+00,-5.361803398874992466e-01,2.878587904730394165e-01,-7.325323473316676381e-02,-5.296524267031758049e-01
5.300000000000000711e+00,-3.407579718627512183e-16,-1.854999999999998206e+00,-5.470528032870821677e-01,2.877036833283846962e-01,-7.521771646661952471e-02,-5.496514558679359563e-01
5.400000000000000355e+00,-3.471873675582748392e-16,-1.889999999999998126e+00,-5.578201304837677732e-01,2.875996789054175995e-01,-7.653833939755001758e-02,-5.696510171476625306e-01
5.500000000000000000e+00,-3.536167632537984601e-16,-1.924999999999998046e+00,-5.684775906502260723e-01,2.875305543722633805e-01,-7.742685982326305560e-02,-5.896508185849899109e-01
5.600000000000000533e+00,-3.600461589493220810e-16,-1.959999999999997966e+00,-5.790211303259034104e-01,2.874867239027135701e-01,-7.802539542727550403e-02,-6.096507285432923862e-01
5.700000000000000178e+00,-3.664755546448457020e-16,-1.994999999999997886e+00,-5.894473984079539042e-01,2.874577063949275701e-01,-7.843254120730187851e-02,-6.296506868908235965e-01
5.800000000000000711e+00,-3.729049503403693229e-16,-2.029999999999998028e+00,-5.997537668119031773e-01,2.874385293805992725e-01,-7.870931567856974398e-02,-6.496506676478478459e-01
5.900000000000000355e+00,-3.793343460358929438e-16,-2.064999999999998170e+00,-6.099383466746629567e-01,2.874256203736304527e-01,-7.889929396640303627e-02,-6.696506585832476821e-01
6.000000000000000000e+00,-3.857637417314165647e-16,-2.099999999999998312e+00,-6.200000000000004396e-01,3.323206658025450455e-01,-1.036444538672246091e-01,-5.861355155415106655e-01
6.100000000000000533e+00,-3.921931374269401856e-16,-2.134999999999998455e+00,-6.299383466746629745e-01,3.320729640657931192e-01,-1.053101218407039019e-01,-6.144992401414228755e-01
