时间戳,真实位置X(m),真实位置Y(m),真实位置Z(m),EKF估计位置X(m),EKF估计位置Y(m),EKF估计位置Z(m),真实速度X(m/s),真实速度Y(m/s),真实速度Z(m/s),EKF估计速度X(m/s),EKF估计速度Y(m/s),EKF估计速度Z(m/s)
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.873508180905017362e+00,1.161016517491350086e+01,-2.858962690676042584e+00,0.000000000000000000e+00,1.000000000000000021e-02,-0.000000000000000000e+00,5.037906917105080318e+00,1.538814898787773000e+00,-9.716851601887730894e+00
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.381124354937529830e+00,1.154621990854406732e+01,-2.212617247569738765e+00,1.000000000000000021e-02,-1.000000000000000021e-02,0.000000000000000000e+00,5.886380891302369633e+00,1.466825758261856905e+00,-7.530419491895674611e+00
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.155965420622369422e+01,1.126742995555402160e+01,-1.832330018231704827e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,3.008406713423575241e+00,2.089657901637121395e-01,-7.757048451061083760e+00
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.181150390338608602e+01,8.585207242280359807e+00,-2.077730531886080811e+00,-2.000000000000000042e-02,1.000000000000000021e-02,0.000000000000000000e+00,1.415071298798864063e+00,-1.105642951126643236e+00,-8.228510901923716148e+00
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.262758781881636061e+01,6.421168495141292176e+00,-2.043446318140418327e+00,-1.000000000000000021e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,-4.410458813854333804e-01,-2.160760153641289705e+00,-7.914098635295459871e+00
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.221975213950775085e+01,4.893011319484187105e+00,-2.031872375942976205e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-8.495974208325354216e-01,-8.247657877615526267e-01,-7.918763438358113582e+00
3.300000000000000000e+01,-9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.097292609268461483e+01,4.968434047633359718e+00,-2.132448956604356738e+00,1.000000000000000021e-02,-1.000000000000000021e-02,-0.000000000000000000e+00,-1.776911238254864633e+00,-8.112963587784249864e-02,-6.985492584803035143e+00
3.400000000000000000e+01,-9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.550056984205406607e+00,5.416860664367087352e+00,-2.039831394397518594e+00,1.000000000000000021e-02,-0.000000000000000000e+00,0.000000000000000000e+00,-2.784099547062073743e+00,-4.523995079291038834e-01,-6.376431133058527045e+00
3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.999267746448396998e+00,5.018724513874257553e+00,-2.184936129355476098e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.392727999188234200e+00,-9.601271671301674360e-01,-7.128999042512507600e+00
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.369874951084192993e+00,3.594367120443417107e+00,-2.591242606255674374e+00,1.000000000000000021e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,-2.298255722428642844e+00,-1.577076443913731252e+00,-8.867610255618240345e+00
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.446922047972833525e+00,1.963762378508089768e+00,-2.947051639211313301e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,8.445580188983018433e-01,-1.287800681672438108e+00,-1.016469347491881692e+01
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.418098619809157945e+01,2.572357579810706785e+00,-2.961857194699787144e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.376587617577416101e+00,9.537846512133147936e-01,-9.916428367433308466e+00
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.823880680496813511e+01,5.432283339136471767e+00,-2.977073499071980933e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.383577599845067230e+00,3.248105712439205206e+00,-1.007760550519766696e+01
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.857654140015256061e+01,8.523203202048852845e+00,-3.215371113744033948e+00,-1.000000000000000021e-02,1.000000000000000021e-02,-0.000000000000000000e+00,-1.003692085041061999e+00,4.126173935901766399e+00,-1.163952391799202424e+01
4.100000000000000000e+01,-9.350127201108590635e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.451971704501586657e+01,9.293056891395830021e+00,-3.636604016607435597e+00,-1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.853748170271809492e+00,1.651608760910537654e+00,-1.370928146740074638e+01
