时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),UKF估计位置X(m),UKF估计位置Y(m),UKF估计位置Z(m)
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378884126022214218e+01,2.771379540416639031e+00,-1.202395098167640675e-01
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378911654247912821e+01,2.772827172701495257e+00,-3.261528291140223246e-01
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378939030420867340e+01,2.774292923742448735e+00,-6.287377481135885127e-01
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378966190419759386e+01,2.775776974345307124e+00,-1.027993693102504658e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378993119797849687e+01,2.777279089247649324e+00,-1.523921229117457976e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379019789187948675e+01,2.778799490289292962e+00,-2.116520131513658143e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379046179168187081e+01,2.780338273881813649e+00,-2.805790490322120689e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379072255716474871e+01,2.781895332845985891e+00,-3.591732530267423229e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379098025382126025e+01,2.783470697127418347e+00,-4.474346045109742320e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.323896211963458214e+01,2.380334140790681730e+00,-7.266446039244278676e-02
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.323711557434926078e+01,2.378855145260089010e+00,-4.453849495963262406e-01
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.323517384705377253e+01,2.376454196439174105e+00,-8.840803986935861225e-01
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.323313703679849596e+01,2.373130160208816619e+00,-1.388752532525532324e+00
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.323100570874699855e+01,2.368881927560813061e+00,-1.959402450058091993e+00
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.322877905559023048e+01,2.363708084391376474e+00,-2.596032141177040842e+00
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.322645606892056236e+01,2.357607517006961473e+00,-3.298643141945214907e+00
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.322403697098349085e+01,2.350578741202644650e+00,-4.067237172610145279e+00
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.322152157096835623e+01,2.342620286497886894e+00,-4.901815913244391254e+00
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.321890984513437672e+01,2.333731134515520722e+00,-5.802381301479503151e+00
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.328176163496546991e+01,2.316850200839834617e+00,-2.581916403886213018e-01
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.328391074367277724e+01,2.326849677214005929e+00,-5.836763025952751427e-01
